new nn_clf_ip_based
0.733081%
0.733166%
new nn_clf_ip_based
0.733346%
0.733346%
new nn_clf_ip_based
0.733345%
0.733621%
new nn_clf_ip_based
0.734986%
0.735482%
new nn_clf_ip_based
0.737113%
0.737665%
